,AF,RI
Manilkara_salzmannii,1,4.52
Margaritaria_nobilis,1,0.73
Maytenus_rigida,1,0
Maytenus_robusta,0,0.08
Maytenus_robustoides,1,3
Mimosa_arenosa,0.612903226,1.35
Mimosa_tenuiflora,0.034482759,1.85
Mouriri_pusa,1,1.69
Myracrodruon_urundeuva,0.021276596,0.44
Myrcia_hebepetala,1,3.25
Myrcia_splendens,1,3
Myrcia_tomentosa,0,0.6
Myrciaria_tenella,1,2.5
Nectandra_megapotamica,1,0.33
Ouratea_castaneifolia,0,0
Parapiptadenia_rigida,0,1
Peltophorum_dubium,0.777777778,0.5
Phyllanthus_chacoensis,0.988764045,2.02
Pilosocereus_gounellei,0,2
Pilosocereus_pachycladus,0,0
Piper_aduncum,1,4
Piper_arboreum,1,1
Piptadenia_stipulacea,1,0
Piptadenia_viridiflora,0.315789474,1.26
Pisonia_tomentosa,0,1
Pithecellobium_diversifolium,0.947368421,4.58
Plathymenia_reticulata,0,0.4
Platymiscium_floribundum,0,0.33
Platypodium_elegans,0.666666667,0.33
Poeppigia_procera,1,0
Poincianella_pluviosa,0,1.14
Pouteria_gardneri,0.321428571,0.71
Prockia_crucis,0,1.5
Prosopis_ruscifolia,1,1.68
Protium_ovatum,0.076923077,0.69
Pseudobombax_grandiflorum,0,2
Psidium_acutangulum,1,0
Psidium_firmum,1,1
Psidium_guajava,1,1.23
Psidium_salutare,0.222222222,0.78
Pterocarpus_zehntneri,0,0.26
Pterodon_emarginatus,0,0.33
Ptilochaeta_bahiensis,0,0.4
Qualea_grandiflora,0,0.2
Qualea_multiflora,0,0
Qualea_parviflora,0,1.79
Randia_armata,0.095238095,0
Roupala_montana,0,0
Ruprechtia_apetala,0.935483871,10.69
Ruprechtia_laxiflora,0.1,1
Salacia_crassifolia,1,1
Salacia_elliptica,1,2
Sapium_laurifolium,0,0
Schinopsis_brasiliensis,0.333333333,0.5
Schoepfia_brasiliensis,0,0.4
Seguieria_americana,1,0
Senegalia_langsdorffii,1,5.82
Senegalia_martii,0.914285714,2.29
Senegalia_polyphylla,0.365384615,1.32
Senna_macranthera,1,0
Senna_spectabilis,0.375,0.63
Sideroxylon_obtusifolium,0.090909091,1.09
Simarouba_versicolor,0,0.25
Simira_sampaioana,0.044444444,1.69
Spondias_tuberosa,0,4
Sterculia_excelsa,0,0
Stillingia_saxatilis,0,0.71
Swartzia_flaemingii,0,0
Swartzia_macrostachya,0,0.67
Sweetia_fruticosa,0,0
Tabebuia_aurea,0,0.01
Tabebuia_reticulata,0,0.1
Tachigali_paniculata,0,0
Talisia_esculenta,0.730769231,0.5
Terminalia_argentea,0,0.63
Terminalia_phaeocarpa,0,0.25
Tocoyena_bullata,1,1.26
Tocoyena_formosa,0.25,0
Trichilia_casaretti,0,5
Trichilia_hirta,0.111111111,0.94
Trichilia_pallens,1,0
Triplaris_gardneriana,0.992668622,0.85
Vachellia_farnesiana,1,3.82
Vatairea_macrocarpa,0,0.33
Warszewiczia_coccinea,0,4
Ximenia_americana,0,3.82
Xylosma_ciliatifolia,1,1.33
Zanthoxylum_monogynum,0.142857143,0.29
Zanthoxylum_riedelianum,1,0
Zanthoxylum_stelligerum,0.352941176,0.29
Ziziphus_cotinifolia,0.058823529,1.59
Ziziphus_joazeiro,0.9375,1.13
Zygia_latifolia,1,2.15
